layer_index,name,args,input_#,output_#,Param_#,dp_index,pp_index,tp_index,opcode,target,layer_type,input_shape,output_shape,param_shape,kwargs,dtype_size,direction,avg_mem_grp_idx,avg_mem_grp_size,min_comm_grp_id,min_comm_grp_sum,min_comm_grp_last_weight,compute_density_ops
48,layer2_0_relu_2,"(add_3,)",327680,327680,0,0,0,0,call_module,layer2.0.relu,ReLU,"[10, 512, 8, 8]","[10, 512, 8, 8]",{},{},[4],FWD,1,3211200,0,3210688,40960,1310720.0
49,layer2_1_conv1,"(layer2_0_relu_2,)",327680,81920,65536,0,0,0,call_module,layer2.1.conv1,Conv2d,"[10, 512, 8, 8]","[10, 128, 8, 8]","{'weight': torch.Size([128, 512, 1, 1])}",{},[4],FWD,1,3211200,0,3210688,40960,41943040.0
50,layer2_1_bn1,"(layer2_1_conv1,)",81920,81920,256,0,0,0,call_module,layer2.1.bn1,BatchNorm2d,"[10, 128, 8, 8]","[10, 128, 8, 8]","{'weight': torch.Size([128]), 'bias': torch.Size([128])}",{},[4],FWD,1,3211200,0,3210688,40960,1475584.0
51,layer2_1_relu,"(layer2_1_bn1,)",81920,81920,0,0,0,0,call_module,layer2.1.relu,ReLU,"[10, 128, 8, 8]","[10, 128, 8, 8]",{},{},[4],FWD,1,3211200,0,3210688,40960,327680.0
52,layer2_1_conv2,"(layer2_1_relu,)",81920,81920,147456,0,0,0,call_module,layer2.1.conv2,Conv2d,"[10, 128, 8, 8]","[10, 128, 8, 8]","{'weight': torch.Size([128, 128, 3, 3])}",{},[4],FWD,1,3211200,0,3210688,40960,94371840.0
53,layer2_1_bn2,"(layer2_1_conv2,)",81920,81920,256,0,0,0,call_module,layer2.1.bn2,BatchNorm2d,"[10, 128, 8, 8]","[10, 128, 8, 8]","{'weight': torch.Size([128]), 'bias': torch.Size([128])}",{},[4],FWD,1,3211200,0,3210688,40960,1475584.0
54,layer2_1_relu_1,"(layer2_1_bn2,)",81920,81920,0,0,0,0,call_module,layer2.1.relu,ReLU,"[10, 128, 8, 8]","[10, 128, 8, 8]",{},{},[4],FWD,1,3211200,0,3210688,40960,327680.0
55,layer2_1_conv3,"(layer2_1_relu_1,)",81920,327680,65536,0,0,0,call_module,layer2.1.conv3,Conv2d,"[10, 128, 8, 8]","[10, 512, 8, 8]","{'weight': torch.Size([512, 128, 1, 1])}",{},[4],FWD,1,3211200,0,3210688,40960,41943040.0
56,layer2_1_bn3,"(layer2_1_conv3,)",327680,327680,1024,0,0,0,call_module,layer2.1.bn3,BatchNorm2d,"[10, 512, 8, 8]","[10, 512, 8, 8]","{'weight': torch.Size([512]), 'bias': torch.Size([512])}",{},[4],FWD,1,3211200,0,3210688,40960,5902336.0
57,add_4,"(layer2_1_bn3, layer2_0_relu_2)",327680,327680,0,0,0,0,call_function,<built-in function add>,,"[10, 512, 8, 8]","[10, 512, 8, 8]",0,{},[4],FWD,1,3211200,0,3210688,40960,327680.0
58,layer2_1_relu_2,"(add_4,)",327680,327680,0,0,0,0,call_module,layer2.1.relu,ReLU,"[10, 512, 8, 8]","[10, 512, 8, 8]",{},{},[4],FWD,1,3211200,0,3210688,40960,1310720.0
59,layer2_2_conv1,"(layer2_1_relu_2,)",327680,81920,65536,0,0,0,call_module,layer2.2.conv1,Conv2d,"[10, 512, 8, 8]","[10, 128, 8, 8]","{'weight': torch.Size([128, 512, 1, 1])}",{},[4],FWD,1,3211200,0,3210688,40960,41943040.0
60,layer2_2_bn1,"(layer2_2_conv1,)",81920,81920,256,0,0,0,call_module,layer2.2.bn1,BatchNorm2d,"[10, 128, 8, 8]","[10, 128, 8, 8]","{'weight': torch.Size([128]), 'bias': torch.Size([128])}",{},[4],FWD,1,3211200,0,3210688,40960,1475584.0
61,layer2_2_relu,"(layer2_2_bn1,)",81920,81920,0,0,0,0,call_module,layer2.2.relu,ReLU,"[10, 128, 8, 8]","[10, 128, 8, 8]",{},{},[4],FWD,1,3211200,0,3210688,40960,327680.0
62,layer2_2_conv2,"(layer2_2_relu,)",81920,81920,147456,0,0,0,call_module,layer2.2.conv2,Conv2d,"[10, 128, 8, 8]","[10, 128, 8, 8]","{'weight': torch.Size([128, 128, 3, 3])}",{},[4],FWD,1,3211200,0,3210688,40960,94371840.0
63,layer2_2_bn2,"(layer2_2_conv2,)",81920,81920,256,0,0,0,call_module,layer2.2.bn2,BatchNorm2d,"[10, 128, 8, 8]","[10, 128, 8, 8]","{'weight': torch.Size([128]), 'bias': torch.Size([128])}",{},[4],FWD,1,3211200,0,3210688,40960,1475584.0
64,layer2_2_relu_1,"(layer2_2_bn2,)",81920,81920,0,0,0,0,call_module,layer2.2.relu,ReLU,"[10, 128, 8, 8]","[10, 128, 8, 8]",{},{},[4],FWD,1,3211200,0,3210688,40960,327680.0
65,layer2_2_conv3,"(layer2_2_relu_1,)",81920,327680,65536,0,0,0,call_module,layer2.2.conv3,Conv2d,"[10, 128, 8, 8]","[10, 512, 8, 8]","{'weight': torch.Size([512, 128, 1, 1])}",{},[4],FWD,1,3211200,0,3210688,40960,41943040.0
66,layer2_2_bn3,"(layer2_2_conv3,)",327680,327680,1024,0,0,0,call_module,layer2.2.bn3,BatchNorm2d,"[10, 512, 8, 8]","[10, 512, 8, 8]","{'weight': torch.Size([512]), 'bias': torch.Size([512])}",{},[4],FWD,1,3211200,0,3210688,40960,5902336.0
67,add_5,"(layer2_2_bn3, layer2_1_relu_2)",327680,327680,0,0,0,0,call_function,<built-in function add>,,"[10, 512, 8, 8]","[10, 512, 8, 8]",0,{},[4],FWD,1,3211200,0,3210688,40960,327680.0
68,layer2_2_relu_2,"(add_5,)",327680,327680,0,0,0,0,call_module,layer2.2.relu,ReLU,"[10, 512, 8, 8]","[10, 512, 8, 8]",{},{},[4],FWD,1,3211200,0,3210688,40960,1310720.0
