global_index,avg_mem_grp_idx,layer_index,name,args,dp_args,input_#,output_#,Param_#,dp_index,pp_index,tp_index,opcode,target,layer_type,input_shape,output_shape,param_shape,kwargs,dtype_size,direction,avg_mem_grp_size,compute_density_ops
56,2,120,layer3_4_conv1_0_0_bkwd,"('layer3_4_bn1_0_0_bkwd',)",[],40960,163840,262144,0,0,0,call_module,layer3.4.conv1,Conv2d,"[10, 256, 4, 4]","[10, 1024, 4, 4]","{'weight': torch.Size([256, 1024, 1, 1])}",{},[4],BKWD,3351552,83886080.0
57,2,119,layer3_3_relu_2_0_0_bkwd,"('layer3_4_conv1_0_0_bkwd', 'add_11_0_0_bkwd')",[],163840,163840,0,0,0,0,call_module,layer3.3.relu,ReLU,"[10, 1024, 4, 4]","[10, 1024, 4, 4]",{},{},[4],BKWD,3351552,655360.0
58,2,118,add_10_0_0_bkwd,"('layer3_3_relu_2_0_0_bkwd',)",[],163840,163840,0,0,0,0,call_function,<built-in function add>,,"[10, 1024, 4, 4]","[10, 1024, 4, 4]",0,{},[4],BKWD,3351552,163840.0
59,2,117,layer3_3_bn3_0_0_bkwd,"('add_10_0_0_bkwd',)",[],163840,163840,2048,0,0,0,call_module,layer3.3.bn3,BatchNorm2d,"[10, 1024, 4, 4]","[10, 1024, 4, 4]","{'weight': torch.Size([1024]), 'bias': torch.Size([1024])}",{},[4],BKWD,3351552,5914624.0
60,2,116,layer3_3_conv3_0_0_bkwd,"('layer3_3_bn3_0_0_bkwd',)",[],163840,40960,262144,0,0,0,call_module,layer3.3.conv3,Conv2d,"[10, 1024, 4, 4]","[10, 256, 4, 4]","{'weight': torch.Size([1024, 256, 1, 1])}",{},[4],BKWD,3351552,83886080.0
61,2,115,layer3_3_relu_1_0_0_bkwd,"('layer3_3_conv3_0_0_bkwd',)",[],40960,40960,0,0,0,0,call_module,layer3.3.relu,ReLU,"[10, 256, 4, 4]","[10, 256, 4, 4]",{},{},[4],BKWD,3351552,163840.0
62,2,114,layer3_3_bn2_0_0_bkwd,"('layer3_3_relu_1_0_0_bkwd',)",[],40960,40960,512,0,0,0,call_module,layer3.3.bn2,BatchNorm2d,"[10, 256, 4, 4]","[10, 256, 4, 4]","{'weight': torch.Size([256]), 'bias': torch.Size([256])}",{},[4],BKWD,3351552,1478656.0
63,2,113,layer3_3_conv2_0_0_bkwd,"('layer3_3_bn2_0_0_bkwd',)",[],40960,40960,589824,0,0,0,call_module,layer3.3.conv2,Conv2d,"[10, 256, 4, 4]","[10, 256, 4, 4]","{'weight': torch.Size([256, 256, 3, 3])}",{},[4],BKWD,3351552,188743680.0
64,2,112,layer3_3_relu_0_0_bkwd,"('layer3_3_conv2_0_0_bkwd',)",[],40960,40960,0,0,0,0,call_module,layer3.3.relu,ReLU,"[10, 256, 4, 4]","[10, 256, 4, 4]",{},{},[4],BKWD,3351552,163840.0
65,2,111,layer3_3_bn1_0_0_bkwd,"('layer3_3_relu_0_0_bkwd',)",[],40960,40960,512,0,0,0,call_module,layer3.3.bn1,BatchNorm2d,"[10, 256, 4, 4]","[10, 256, 4, 4]","{'weight': torch.Size([256]), 'bias': torch.Size([256])}",{},[4],BKWD,3351552,1478656.0
